name,stars,bath_number,bed_number,rooms_number,host_id,host_name,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,latitude,longitude
Rental unit in Barcelona,4.22,1 bath,3 beds,2 bedrooms,2320210,"Ale, Maria & Arthur",Gràcia,el Camp d'en Grassot i Gràcia Nova,Entire home/apt,155.0,1,73,2023-11-07,0.8,46,50,24,HUTB-003522,41.4038,2.1691
Rental unit in Barcelona,4.41,1.5 baths,4 beds,2 bedrooms,2320210,"Ale, Maria & Arthur",Eixample,la Sagrada Família,Entire home/apt,139.0,1,145,2023-11-12,1.33,46,103,28,HUTB-002111,41.4035,2.1716
Rental unit in Barcelona,4.59,2 baths,1 bed,1 bedroom,2365702,David,Sant Martí,el Parc i la Llacuna del Poblenou,Private room,45.0,5,277,2023-11-29,1.97,2,323,30,,41.4016,2.1942
Rental unit in Barcelona,4.22,1 bath,2 beds,1 bedroom,2320210,"Ale, Maria & Arthur",Horta-Guinardó,el Baix Guinardó,Entire home/apt,94.0,1,72,2023-12-09,0.79,46,111,25,HUTB-002560,41.4101,2.1698
Rental unit in Barcelona,4.25,1 bath,2 beds,1 bedroom,1310304,Luis,Ciutat Vella,el Barri Gòtic,Entire home/apt,34.0,32,11,2022-08-22,0.08,43,133,0,,41.3836,2.1716
Rental unit in Barcelona,4.77,1 bath,4 beds,3 bedrooms,893805,Phil And Fiona,Eixample,la Dreta de l'Eixample,Entire home/apt,119.0,2,583,2023-12-03,4.07,13,341,75,HUTB-010749,41.3978,2.1706
Rental unit in Barcelona,5.0,2 baths,2 beds,2 bedrooms,2262273,Serket,Ciutat Vella,el Barri Gòtic,Entire home/apt,70.0,32,7,2023-11-18,0.05,20,298,2,,41.3795,2.1767
Rental unit in Barcelona,4.91,2 baths,2 beds,2 bedrooms,2484443,Jordi,Eixample,la Dreta de l'Eixample,Entire home/apt,112.0,5,173,2023-12-09,1.68,1,144,49,HUTB-005663,41.398,2.1717
Rental unit in Barcelona,4.67,1 bath,5 beds,3 bedrooms,1447144,Acomodis Apartments,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Entire home/apt,90.0,1,3,2015-04-21,0.02,174,365,0,,41.3847,2.1802
Rental unit in Barcelona,4.91,2 baths,1 bed,1 bedroom,2176121,Rosa María,Eixample,el Fort Pienc,Private room,60.0,31,86,2020-03-01,0.68,2,164,0,Exempt,41.3977,2.1822
Rental unit in Barcelona,4.87,1 bath,2 beds,2 bedrooms,2504689,Carolina,Eixample,l'Antiga Esquerra de l'Eixample,Entire home/apt,106.0,5,131,2023-11-20,0.94,2,72,36,HUTB-003831,41.3916,2.1578
Rental unit in Barcelona,4.17,1 bath,3 beds,2 bedrooms,1221038,Mar,Sant Martí,el Poblenou,Entire home/apt,98.0,1,109,2023-11-26,0.78,4,310,17,HUTB-007075,41.4035,2.2041
Rental unit in Barcelona,4.57,2 baths,3 beds,3 bedrooms,2517389,Sara,Sant Andreu,el Congrés i els Indians,Entire home/apt,140.0,7,30,2023-08-31,0.23,2,201,6,HUTB-008605,41.4226,2.1805
Rental unit in Barcelona,4.67,1 bath,2 beds,1 bedroom,1716315,Marc,Sant Martí,la Vila Olímpica del Poblenou,Entire home/apt,125.0,1,58,2023-11-13,0.5,12,52,23,HUTB-002887,41.3925,2.1933
Rental unit in Barcelona,4.20,1 bath,5 beds,2 bedrooms,1447144,Acomodis Apartments,Eixample,la Sagrada Família,Entire home/apt,101.0,1,7,2023-10-26,0.05,174,362,1,,41.4038,2.1729
Rental unit in Barcelona,4.82,2 shared baths,1 bed,2 bedrooms,1687383,JuanMi,Ciutat Vella,el Raval,Private room,19.0,31,35,2021-10-20,0.26,2,320,0,,41.3757,2.171
Rental unit in Barcelona,4.43,1 bath,1 bed,1 bedroom,1744516,Silvia & Luís,Eixample,la Dreta de l'Eixample,Entire home/apt,92.0,3,35,2023-10-22,0.34,34,365,6,HUTB-007447,41.3999,2.1654
Rental unit in Barcelona,4.54,2 baths,5 beds,3 bedrooms,1744516,Silvia & Luís,Gràcia,la Vila de Gràcia,Entire home/apt,106.0,3,35,2023-10-28,0.3,34,344,15,HUTB-009898,41.4074,2.1588
Rental unit in Barcelona,4.45,2 baths,4 beds,3 bedrooms,1744516,Silvia & Luís,Gràcia,la Vila de Gràcia,Entire home/apt,113.0,3,94,2023-11-23,0.72,34,326,33,HUTB-008572,41.404,2.1556
Rental unit in Barcelona,4.69,1 bath,6 beds,2 bedrooms,488117,David Y Maria,Ciutat Vella,el Raval,Entire home/apt,150.0,6,66,2023-04-07,0.51,6,0,1,HUTB-003872,41.3778,2.1673
Rental unit in Barcelona,4.86,1 bath,3 beds,2 bedrooms,488117,David Y Maria,Ciutat Vella,el Raval,Entire home/apt,123.0,6,36,2023-09-30,0.28,6,299,7,HUTB-003876,41.377,2.1666
