Ramas de actividad,Año,Total,Código
"Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2019,4239988,33
- De las cuales: Industria manufacturera,2021,3118701,33
- De las cuales: Industria manufacturera,2020,2508510,33
- De las cuales: Industria manufacturera,2019,2902969,33
Construcción,2021,1392272,33
Construcción,2020,1314621,33
Construcción,2019,1521189,33
"Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2021,4867794,33
"Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2020,4189893,33
"Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2019,5208875,33
"Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2021,5075288,33
"Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2020,4877413,33
"Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2019,5013066,33
"Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2021,5092263,33
"Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2020,5025246,33
"Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2019,5213870,33
añadido bruto total,2021,21306287,33
añadido bruto total,2020,19453520,33
añadido bruto total,2019,21504954,33
netos sobre los productos,2021,2243372,33
netos sobre los productos,2020,1865628,33
netos sobre los productos,2019,2206315,33
INTERIOR BRUTO A PRECIOS DE MERCADO,2021,23549659,33
INTERIOR BRUTO A PRECIOS DE MERCADO,2020,21319148,33
INTERIOR BRUTO A PRECIOS DE MERCADO,2019,23711269,33
"Agricultura, ganadería, silvicultura y pesca",2021,141202,5
"Agricultura, ganadería, silvicultura y pesca",2020,141187,5
"Agricultura, ganadería, silvicultura y pesca",2019,104443,5
"Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2021,324441,5
"Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2020,264401,5
"Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2019,281793,5
- De las cuales: Industria manufacturera,2021,251439,5
- De las cuales: Industria manufacturera,2020,216637,5
- De las cuales: Industria manufacturera,2019,234660,5
Construcción,2021,266759,5
Construcción,2020,264628,5
Construcción,2019,272458,5
"Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2021,645518,5
"Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2020,556041,5
"Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2019,732257,5
"Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2021,678479,5
"Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2020,651021,5
"Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2019,660029,5
"Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2021,929338,5
"Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2020,929911,5
"Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2019,961361,5
añadido bruto total,2021,2985737,5
añadido bruto total,2020,2807189,5
añadido bruto total,2019,3012341,5
netos sobre los productos,2021,314373,5
netos sobre los productos,2020,269215,5
netos sobre los productos,2019,309053,5
INTERIOR BRUTO A PRECIOS DE MERCADO,2021,3300110,5
INTERIOR BRUTO A PRECIOS DE MERCADO,2020,3076404,5
INTERIOR BRUTO A PRECIOS DE MERCADO,2019,3321394,5
"Agricultura, ganadería, silvicultura y pesca",2021,1114803,6
"Agricultura, ganadería, silvicultura y pesca",2020,828169,6
"Agricultura, ganadería, silvicultura y pesca",2019,957944,6
"Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2021,1424693,6
"Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2020,1284940,6
"Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2019,1331190,6
- De las cuales: Industria manufacturera,2021,989504,6
- De las cuales: Industria manufacturera,2020,880772,6
- De las cuales: Industria manufacturera,2019,894518,6
Construcción,2021,712482,6
Construcción,2020,656761,6
Construcción,2019,766514,6
"Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2021,2239124,6
"Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2020,1925604,6
"Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2019,2274580,6
"Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2021,2390063,6
