Energía (MWh),Porcentage_Generacion,COD-CCAA,Año,Mes
407204.579,1,14,2020,3
329918.004,1,14,2020,4
377656.588,1,14,2020,5
387263.707,1,14,2020,6
396242.377,1,14,2020,7
391904.088,1,14,2020,8
419135.926,1,14,2020,9
423452.642,1,14,2020,10
427189.248,1,14,2020,11
409950.116,1,14,2020,12
443553.286,1,14,2021,1
410832.434,1,14,2021,2
437964.061,1,14,2021,3
406589.998,1,14,2021,4
426771.793,1,14,2021,5
422513.312,1,14,2021,6
405159.449,1,14,2021,7
391177.128,1,14,2021,8
423399.212,1,14,2021,9
414220.512,1,14,2021,10
437375.677,1,14,2021,11
421278.98,1,14,2021,12
2510836.663,1,15,2019,1
2134019.425,1,15,2019,2
2164887.68,1,15,2019,3
2082313.392,1,15,2019,4
2123696.885,1,15,2019,5
2173952.957,1,15,2019,6
2732096.081,1,15,2019,7
2443273.028,1,15,2019,8
2226532.905,1,15,2019,9
2186210.866,1,15,2019,10
2209449.199,1,15,2019,11
2222962.963,1,15,2019,12
2508069.037,1,15,2020,1
2121198.841,1,15,2020,2
2101279.181,1,15,2020,3
1658367.752,1,15,2020,4
1827469.331,1,15,2020,5
1973106.075,1,15,2020,6
2517075.658,1,15,2020,7
2431482.847,1,15,2020,8
2160161.801,1,15,2020,9
2092023.643,1,15,2020,10
2119833.626,1,15,2020,11
2351728.827,1,15,2020,12
2541784.95,1,15,2021,1
2020604.117,1,15,2021,2
2252014.427,1,15,2021,3
2051278.824,1,15,2021,4
2055062.999,1,15,2021,5
2166490.181,1,15,2021,6
2560090.745,1,15,2021,7
2405188.279,1,15,2021,8
2264075.528,1,15,2021,9
2082354.219,1,15,2021,10
2207275.169,1,15,2021,11
2263430.835,1,15,2021,12
457953.307,1,16,2019,1
394740.895,1,16,2019,2
388246.938,1,16,2019,3
392573.28,1,16,2019,4
371863.619,1,16,2019,5
390596.367,1,16,2019,6
431889.831,1,16,2019,7
482287.397,1,16,2019,8
429437.981,1,16,2019,9
394986.126,1,16,2019,10
414780.995,1,16,2019,11
416962.301,1,16,2019,12
458471.77,1,16,2020,1
389007.747,1,16,2020,2
394485.672,1,16,2020,3
337487.516,1,16,2020,4
347169.665,1,16,2020,5
385510.529,1,16,2020,6
497827.803,1,16,2020,7
489402.967,1,16,2020,8
422010.656,1,16,2020,9
396197.376,1,16,2020,10
405048.58,1,16,2020,11
428972.183,1,16,2020,12
487003.673,1,16,2021,1
395298.669,1,16,2021,2
425492.436,1,16,2021,3
376617.189,1,16,2021,4
383981.298,1,16,2021,5
405586.42,1,16,2021,6
423714.488,1,16,2021,7
509621.441,1,16,2021,8
414550.084,1,16,2021,9
382150.628,1,16,2021,10
421384.241,1,16,2021,11
429876.923,1,16,2021,12
1831829.718,1,17,2019,1
1563729.72,1,17,2019,2
1570501.303,1,17,2019,3
1498887.102,1,17,2019,4
1455568.887,1,17,2019,5
1403979.936,1,17,2019,6
1459713.949,1,17,2019,7
1458252.716,1,17,2019,8
1437838.622,1,17,2019,9
1518709.899,1,17,2019,10
1611162.935,1,17,2019,11
1639128.236,1,17,2019,12
1697792.905,1,17,2020,1
1475967.306,1,17,2020,2
1493138.351,1,17,2020,3
1268982.914,1,17,2020,4
1327958.665,1,17,2020,5
1438593.814,1,17,2020,6
1380397.914,1,17,2020,7
1390800.24,1,17,2020,8
1375753.284,1,17,2020,9
1471636.389,1,17,2020,10
1491474.968,1,17,2020,11
1600592.994,1,17,2020,12
1694495.593,1,17,2021,1
1484968.544,1,17,2021,2
1564011.296,1,17,2021,3
1426069.727,1,17,2021,4
1454054.616,1,17,2021,5
1365134.11,1,17,2021,6
1369843.94,1,17,2021,7
1377124.299,1,17,2021,8
1381155.204,1,17,2021,9
1418232.566,1,17,2021,10
1493168.54,1,17,2021,11
1521980.401,1,17,2021,12
477795.703,1,8743,2019,1
415344.403,1,8743,2019,2
436816.193,1,8743,2019,3
446407.913,1,8743,2019,4
477010.374,1,8743,2019,5
539722.271,1,8743,2019,6
719464.877,1,8743,2019,7
705099.073,1,8743,2019,8
572623.989,1,8743,2019,9
490426.996,1,8743,2019,10
412701.696,1,8743,2019,11
421812.285,1,8743,2019,12
456464.05,1,8743,2020,1
403435.857,1,8743,2020,2
403832.751,1,8743,2020,3
321712.013,1,8743,2020,4
327175.074,1,8743,2020,5
360864.887,1,8743,2020,6
528918.585,1,8743,2020,7
566318.86,1,8743,2020,8
403465.241,1,8743,2020,9
368113.495,1,8743,2020,10
364441.335,1,8743,2020,11
436982.595,1,8743,2020,12
470923.625,1,8743,2021,1
361715.977,1,8743,2021,2
410107.525,1,8743,2021,3
378811.138,1,8743,2021,4
380442.847,1,8743,2021,5
459727.74,1,8743,2021,6
601270.435,1,8743,2021,7
632604.942,1,8743,2021,8
544052.918,1,8743,2021,9
444700.654,1,8743,2021,10
408606.143,1,8743,2021,11
435319.025,1,8743,2021,12
157569.432,1,20,2019,1
137243.524,1,20,2019,2
144513.078,1,20,2019,3
133753.57,1,20,2019,4
134904.534,1,20,2019,5
133645.37,1,20,2019,6
153082.682,1,20,2019,7
134540.513,1,20,2019,8
136656.05,1,20,2019,9
148673.966,1,20,2019,10
145490.168,1,20,2019,11
141234.636,1,20,2019,12
155709.587,1,20,2020,1
139196.214,1,20,2020,2
137102.562,1,20,2020,3
111843.378,1,20,2020,4
117782.567,1,20,2020,5
121000.367,1,20,2020,6
144053.936,1,20,2020,7
133978.303,1,20,2020,8
137621.254,1,20,2020,9
141061.124,1,20,2020,10
139104.195,1,20,2020,11
141654.074,1,20,2020,12
146298.76,1,20,2021,1
129503.338,1,20,2021,2
144652.408,1,20,2021,3
129506.033,1,20,2021,4
130651.022,1,20,2021,5
128050.949,1,20,2021,6
140864.511,1,20,2021,7
130850.035,1,20,2021,8
133323.629,1,20,2021,9
135918.94,1,20,2021,10
140846.25,1,20,2021,11
141258.077,1,20,2021,12
18530.186,1,8745,2019,1
15963.18,1,8745,2019,2
16622.099,1,8745,2019,3
15384.125,1,8745,2019,4
16956.698,1,8745,2019,5
17069.632,1,8745,2019,6
19981.725,1,8745,2019,7
21285.859,1,8745,2019,8
18638.026,1,8745,2019,9
17507.116,1,8745,2019,10
16251.095,1,8745,2019,11
16714.884,1,8745,2019,12
17812.714,1,8745,2020,1
15817.3,1,8745,2020,2
15735.69,1,8745,2020,3
14737.721,1,8745,2020,4
15573.759,1,8745,2020,5
16708.38,1,8745,2020,6
21140.943,1,8745,2020,7
22335.731,1,8745,2020,8
18793.899,1,8745,2020,9
16551.482,1,8745,2020,10
15635.69,1,8745,2020,11
17166.954,1,8745,2020,12
18321.295,1,8745,2021,1
15061.0,1,8745,2021,2
16300.381,1,8745,2021,3
15293.779,1,8745,2021,4
16356.496,1,8745,2021,5
16601.305,1,8745,2021,6
19875.328,1,8745,2021,7
20335.852,1,8745,2021,8
18196.105,1,8745,2021,9
16468.922,1,8745,2021,10
15759.968,1,8745,2021,11
16807.759,1,8745,2021,12
1566908.501,1,10,2019,1
1349915.466,1,10,2019,2
1438251.76,1,10,2019,3
1324846.851,1,10,2019,4
1412540.967,1,10,2019,5
1320335.319,1,10,2019,6
1321611.713,1,10,2019,7
1067567.8,1,10,2019,8
1313870.402,1,10,2019,9
1401028.409,1,10,2019,10
1440323.849,1,10,2019,11
1327169.282,1,10,2019,12
1464723.239,1,10,2020,1
1370961.607,1,10,2020,2
1354901.587,1,10,2020,3
969319.589,1,10,2020,4
1122317.097,1,10,2020,5
1157223.566,1,10,2020,6
1211455.235,1,10,2020,7
987600.964,1,10,2020,8
1253870.065,1,10,2020,9
1374290.634,1,10,2020,10
1348346.356,1,10,2020,11
1322546.667,1,10,2020,12
1452389.83,1,10,2021,1
1331125.747,1,10,2021,2
1445981.843,1,10,2021,3
1298198.318,1,10,2021,4
1350193.26,1,10,2021,5
1325699.371,1,10,2021,6
1313327.347,1,10,2021,7
1032737.987,1,10,2021,8
1303370.899,1,10,2021,9
1328564.107,1,10,2021,10
1414374.753,1,10,2021,11
1278916.676,1,10,2021,12
955695.747,1,11,2019,1
800857.082,1,11,2019,2
819770.82,1,11,2019,3
775652.082,1,11,2019,4
775558.988,1,11,2019,5
734051.76,1,11,2019,6
771577.431,1,11,2019,7
751690.808,1,11,2019,8
733274.883,1,11,2019,9
741662.952,1,11,2019,10
762830.407,1,11,2019,11
770472.528,1,11,2019,12
818569.533,1,11,2020,1
753713.456,1,11,2020,2
793322.507,1,11,2020,3
658828.308,1,11,2020,4
673587.975,1,11,2020,5
657386.079,1,11,2020,6
693685.822,1,11,2020,7
670393.413,1,11,2020,8
686850.454,1,11,2020,9
760044.453,1,11,2020,10
746484.147,1,11,2020,11
812041.784,1,11,2020,12
867913.759,1,11,2021,1
754268.325,1,11,2021,2
808309.756,1,11,2021,3
768077.88,1,11,2021,4
776093.729,1,11,2021,5
729077.631,1,11,2021,6
754393.956,1,11,2021,7
720273.259,1,11,2021,8
725963.978,1,11,2021,9
750755.832,1,11,2021,10
783627.844,1,11,2021,11
805235.909,1,11,2021,12
841665.36,1,21,2019,1
722984.391,1,21,2019,2
769206.22,1,21,2019,3
717397.568,1,21,2019,4
753933.437,1,21,2019,5
781848.129,1,21,2019,6
934973.704,1,21,2019,7
891511.529,1,21,2019,8
740195.578,1,21,2019,9
748991.037,1,21,2019,10
756543.658,1,21,2019,11
777171.494,1,21,2019,12
826921.959,1,21,2020,1
710409.485,1,21,2020,2
748455.972,1,21,2020,3
630962.979,1,21,2020,4
700712.044,1,21,2020,5
751296.944,1,21,2020,6
909611.101,1,21,2020,7
904273.955,1,21,2020,8
773862.263,1,21,2020,9
737168.266,1,21,2020,10
714052.423,1,21,2020,11
796790.727,1,21,2020,12
833740.735,1,21,2021,1
704966.713,1,21,2021,2
757147.666,1,21,2021,3
706783.625,1,21,2021,4
730774.566,1,21,2021,5
757175.204,1,21,2021,6
905457.514,1,21,2021,7
901082.855,1,21,2021,8
793300.95,1,21,2021,9
707168.96,1,21,2021,10
723781.406,1,21,2021,11
781601.118,1,21,2021,12
