Energía (MWh),Porcentage de Generación Renovable,COD-CCAA,Año,Mes,Tipo de energía
9794.195,0.4414146006172019,6,2019,7,1
5418.636,0.3025683462878585,6,2019,8,1
7280.188,0.3303970507560269,6,2019,9,1
14203.371,0.4409902644542053,6,2019,10,1
33469.68,0.6511028005926668,6,2019,11,1
38335.339,0.6964404577151154,6,2019,12,1
5866.649,0.1672128677187703,6,2019,1,2
7484.663,0.1510598668932108,6,2019,2,2
6076.595,0.1703381702936277,6,2019,3,2
7105.364,0.2019817588403924,6,2019,4,2
5754.385,0.1770744406807616,6,2019,5,2
4296.882,0.1594654875867256,6,2019,6,2
2413.11,0.1087564610358867,6,2019,7,2
2399.185,0.1339668207808451,6,2019,8,2
5213.13,0.2365876783961852,6,2019,9,2
8345.171,0.2591032203696971,6,2019,10,2
10825.523,0.2105944348192252,6,2019,11,2
7131.698,0.1295619955103559,6,2019,12,2
72.563,0.0020682108850004,6,2019,1,3
147.208,0.002971038360126,6,2019,2,3
223.291,0.0062592587432656,6,2019,3,3
205.894,0.0058528785090649,6,2019,4,3
248.167,0.0076366167227988,6,2019,5,3
229.48,0.0085164405472158,6,2019,6,3
243.172,0.0109595195175597,6,2019,7,3
214.338,0.0119683060841597,6,2019,8,3
198.345,0.0090014987294564,6,2019,9,3
143.967,0.0044699279771456,6,2019,10,3
63.824,0.0012416009099885,6,2019,11,3
83.764,0.0015217457317919,6,2019,12,3
7329.449,0.208906001720654,6,2019,1,5
4915.641,0.09921035524977,6,2019,2,5
4988.758,0.1398440919228116,6,2019,3,5
6202.597,0.1763191092586026,6,2019,4,5
6463.383,0.1988917894146017,6,2019,5,5
6214.583,0.2306350298293451,6,2019,6,5
6304.203,0.2841241418467538,6,2019,7,5
6447.88,0.3600397569909765,6,2019,8,5
5977.142,0.271260864245536,6,2019,9,5
6039.361,0.1875117818526611,6,2019,10,5
6002.143,0.1167627571239901,6,2019,11,5
6024.545,0.1094482789711422,6,2019,12,5
3491.6665,0.0995204534279384,6,2019,1,7
3104.1215,0.0626492041940103,6,2019,2,7
3487.364,0.0977572477527079,6,2019,3,7
2729.852,0.0776005716714813,6,2019,4,7
