Año,Total,Código Provincia,ID_Grupo_Edad,Id_Nacional_Extranjero,ID_Sexo
2021,3036,21,1,2,2
2020,3061,21,1,2,2
2019,2876,21,1,2,2
2021,157874,21,2,1,1
2020,157764,21,2,1,1
2019,158091,21,2,1,1
2021,153436,21,2,1,2
2020,153541,21,2,1,2
2019,153620,21,2,1,2
2021,19197,21,2,2,1
2020,18557,21,2,2,1
2019,17489,21,2,2,1
2021,20809,21,2,2,2
2020,20653,21,2,2,2
2019,19664,21,2,2,2
2021,39046,21,3,1,1
2020,38161,21,3,1,1
2019,37463,21,3,1,1
2021,49297,21,3,1,2
2020,48431,21,3,1,2
2019,47703,21,3,1,2
2021,988,21,3,2,1
2020,928,21,3,2,1
2019,861,21,3,2,1
2021,898,21,3,2,2
2020,833,21,3,2,2
2019,803,21,3,2,2
2021,13906,22,1,1,1
2020,14036,22,1,1,1
2019,14118,22,1,1,1
2021,13365,22,1,1,2
2020,13550,22,1,1,2
2019,13659,22,1,1,2
2021,2527,22,1,2,1
2020,2475,22,1,2,1
2019,2214,22,1,2,1
2021,2187,22,1,2,2
2020,2111,22,1,2,2
2019,1947,22,1,2,2
2021,61843,22,2,1,1
2020,61476,22,2,1,1
2019,61867,22,2,1,1
2021,56913,22,2,1,2
2020,56638,22,2,1,2
2019,56932,22,2,1,2
2021,12502,22,2,2,1
2020,11895,22,2,2,1
2019,10611,22,2,2,1
2021,10725,22,2,2,2
2020,10550,22,2,2,2
2019,9615,22,2,2,2
2021,22436,22,3,1,1
2020,22248,22,3,1,1
2019,22098,22,3,1,1
2021,26977,22,3,1,2
2020,26914,22,3,1,2
2019,26711,22,3,1,2
2021,393,22,3,2,1
2020,349,22,3,2,1
2019,320,22,3,2,1
2021,490,22,3,2,2
2020,445,22,3,2,2
2019,369,22,3,2,2
2021,45957,23,1,1,1
2020,46775,23,1,1,1
2019,48148,23,1,1,1
2021,43570,23,1,1,2
2020,44371,23,1,1,2
2019,45724,23,1,1,2
2021,1246,23,1,2,1
2020,1187,23,1,2,1
2019,1105,23,1,2,1
2021,1144,23,1,2,2
2020,1109,23,1,2,2
2019,1080,23,1,2,2
2021,202720,23,2,1,1
2020,203969,23,2,1,1
2019,205221,23,2,1,1
2021,195671,23,2,1,2
2020,196708,23,2,1,2
2019,198108,23,2,1,2
2021,7305,23,2,2,1
2020,7188,23,2,2,1
2019,6811,23,2,2,1
2021,6362,23,2,2,2
2020,6178,23,2,2,2
2019,5695,23,2,2,2
2021,52681,23,3,1,1
2020,52876,23,3,1,1
2019,51736,23,3,1,1
2021,69691,23,3,1,2
2020,70269,23,3,1,2
2019,69255,23,3,1,2
2021,414,23,3,2,1
2020,369,23,3,2,1
2019,335,23,3,2,1
2021,429,23,3,2,2
2020,382,23,3,2,2
2019,346,23,3,2,2
2021,24361,24,1,1,1
2020,24920,24,1,1,1
2019,25452,24,1,1,1
2021,23011,24,1,1,2
2020,23546,24,1,1,2
2019,24195,24,1,1,2
2021,1472,24,1,2,1
2020,1540,24,1,2,1
2019,1426,24,1,2,1
2021,1350,24,1,2,2
2020,1388,24,1,2,2
2019,1310,24,1,2,2
2021,131790,24,2,1,1
2020,133505,24,2,1,1
2019,135742,24,2,1,1
2021,128735,24,2,1,2
2020,130098,24,2,1,2
2019,132010,24,2,1,2
2021,7783,24,2,2,1
2020,7831,24,2,2,1
2019,7469,24,2,2,1
2021,8479,24,2,2,2
2020,8503,24,2,2,2
2019,8010,24,2,2,2
2021,53623,24,3,1,1
2020,53632,24,3,1,1
2019,53261,24,3,1,1
2021,69955,24,3,1,2
2020,70393,24,3,1,2
2019,70232,24,3,1,2
2021,503,24,3,2,1
2020,476,24,3,2,1
2019,394,24,3,2,1
2021,644,24,3,2,2
2020,607,24,3,2,2
2019,500,24,3,2,2
2021,28030,25,1,1,1
2020,28437,25,1,1,1
2019,28783,25,1,1,1
2021,26824,25,1,1,2
2020,27246,25,1,1,2
2019,27569,25,1,1,2
2021,7536,25,1,2,1
2020,7428,25,1,2,1
2019,7067,25,1,2,1
2021,6948,25,1,2,2
2020,6810,25,1,2,2
2019,6464,25,1,2,2
2021,112903,25,2,1,1
2020,112990,25,2,1,1
2019,113309,25,2,1,1
2021,106731,25,2,1,2
2020,106669,25,2,1,2
2019,107028,25,2,1,2
2021,37523,25,2,2,1
2020,36665,25,2,2,1
2019,34510,25,2,2,1
